City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ambon City,-3.6954,128.1814,78.94,83,20,1.14,ID,1654640184
Arrondissement de Troyes,48.3333,4.0833,57.25,88,0,5.75,FR,1654640185
Ushuaia,-54.8,-68.3,44.26,57,20,12.66,AR,1654640185
George Town,5.4112,100.3354,80.53,83,20,0.0,MY,1654639916
Faanui,-16.4833,-151.75,79.52,76,25,12.93,PF,1654640185
Yanam,16.7333,82.2167,86.41,68,92,7.47,IN,1654640186
Nikolskoye,59.7035,30.7861,54.88,64,34,4.09,RU,1654640186
Cabadiangan,9.7531,122.4739,78.44,86,23,1.99,PH,1654640186
Kapaa,22.0752,-159.319,82.38,75,40,11.5,US,1654640187
Mataura,-46.1927,168.8643,49.48,86,22,3.33,NZ,1654640187
Arraial do Cabo,-22.9661,-42.0278,71.46,83,0,3.44,BR,1654640187
Sarlat-la-Canéda,44.889,1.2166,57.92,79,100,1.36,FR,1654640188
Busselton,-33.65,115.3333,56.91,54,100,18.75,AU,1654640188
Wahiawā,21.5028,-158.0236,82.76,58,75,14.97,US,1654640188
Ostrovnoy,68.0531,39.5131,49.01,81,88,7.27,RU,1654640189
Belaya Gora,68.5333,146.4167,49.48,39,9,9.66,RU,1654640189
Port Elizabeth,-33.918,25.5701,61.32,66,0,2.3,ZA,1654640189
Provideniya,64.3833,-173.3,39.31,87,20,11.18,RU,1654640189
Promissão,-21.5367,-49.8581,75.79,53,78,10.65,BR,1654640190
Bredasdorp,-34.5322,20.0403,61.66,38,0,4.07,ZA,1654640190
Saint Paul Harbor,57.79,-152.4072,53.11,71,100,4.61,US,1654640190
Cherskiy,68.75,161.3,46.81,58,99,6.55,RU,1654640191
College,64.8569,-147.8028,73.38,30,20,10.36,US,1654640191
Sarishābāri,24.7333,89.8333,81.59,88,96,9.93,BD,1654640191
Thompson,55.7435,-97.8558,68.16,37,75,6.91,CA,1654640191
Sambava,-14.2667,50.1667,70.57,83,27,9.71,MG,1654640192
Jamame,0.0722,42.7506,75.65,85,81,10.29,SO,1654640192
São Filipe,14.8961,-24.4956,74.7,77,3,4.83,CV,1654640192
Hilo,19.7297,-155.09,91.27,68,0,11.5,US,1654640193
Yuci,37.6803,112.7319,64.15,59,0,6.71,CN,1654640193
Punta Arenas,-53.15,-70.9167,42.91,65,75,11.5,CL,1654640056
Cidreira,-30.1811,-50.2056,63.34,82,97,7.92,BR,1654640193
Sur,22.5667,59.5289,85.44,64,2,12.35,OM,1654640194
Nara,34.6851,135.8049,64.96,60,9,0.56,JP,1654640194
Berlevåg,70.8578,29.0864,44.55,65,100,18.41,NO,1654640194
Cape Town,-33.9258,18.4232,69.12,57,1,1.01,ZA,1654639908
Boa Vista,2.8197,-60.6733,82.38,65,75,10.36,BR,1654640195
Hellvik,59.9156,5.781,58.77,84,92,5.99,NO,1654640195
Muros,42.7762,-9.0603,65.16,93,100,6.31,ES,1654640195
Chui,-33.6971,-53.4616,54.48,93,10,5.06,UY,1654640196
Jamestown,42.097,-79.2353,66.02,73,100,8.05,US,1654639974
Albany,42.6001,-73.9662,68.65,87,100,5.99,US,1654639975
Río Gallegos,-51.6226,-69.2181,40.32,64,56,11.52,AR,1654640066
Hermanus,-34.4187,19.2345,65.75,46,1,8.88,ZA,1654640196
Tieli,46.95,128.05,60.62,66,1,1.92,CN,1654640197
Guerrero Negro,27.9769,-114.0611,71.98,62,10,17.83,MX,1654640197
Yellowknife,62.456,-114.3525,73.56,25,95,8.99,CA,1654639975
Dikson,73.5069,80.5464,24.03,94,11,4.99,RU,1654640197
Necochea,-38.5473,-58.7368,57.76,55,91,12.24,AR,1654640198
Khatanga,71.9667,102.5,49.51,58,98,9.48,RU,1654640198
Tiksi,71.6872,128.8694,38.8,87,44,6.76,RU,1654640198
Port Alfred,-33.5906,26.891,64.11,57,16,11.16,ZA,1654640199
Mar del Plata,-38.0023,-57.5575,60.1,62,0,16.11,AR,1654640199
Choix,26.7092,-108.3219,99.97,20,50,8.57,MX,1654640199
Iqaluit,63.7506,-68.5145,55.13,50,75,12.66,CA,1654640199
Bambous Virieux,-20.3428,57.7575,71.22,88,40,6.91,MU,1654640200
Puerto Ayora,-0.7393,-90.3518,76.96,93,80,5.99,EC,1654640200
Koslan,63.4564,48.8989,53.6,90,100,6.76,RU,1654640200
Rocha,-34.4833,-54.3333,52.57,90,15,3.96,UY,1654640201
Norman Wells,65.282,-126.8329,55.44,54,75,6.91,CA,1654640201
Belmonte,-15.8631,-38.8828,72.19,83,7,5.12,BR,1654640201
Boquete,8.7833,-82.4333,62.2,95,99,0.78,PA,1654639975
Poum,-20.2333,164.0167,77.25,76,100,17.92,NC,1654640202
Butaritari,3.0707,172.7902,80.64,80,41,12.84,KI,1654640202
Tasiilaq,65.6145,-37.6368,41.16,65,98,1.66,GL,1654640203
Mae Ramat,16.984,98.5166,73.36,99,100,1.7,TH,1654640203
Avarua,-21.2078,-159.775,80.65,74,75,9.22,CK,1654640203
San Miguel de Tucumán,-26.8241,-65.2226,55.4,76,0,2.3,AR,1654640204
Sittwe,20.15,92.9,80.24,83,98,2.93,MM,1654640204
